line,character,dialogue,Russian,Hindi
1,THREEPIO,Did you hear that?  They've shut down the main reactor.  We'll be destroyed for sure.  This is madness!,Ты это слышал?Они закрыли главный реактор.Мы будем уничтожены наверняка.Это безумие!,आपको लगता है कि सुना?उन्होंने मुख्य रिएक्टर को बंद कर दिया है।हम निश्चित रूप से नष्ट हो जाएंगे।यह पागलपन है!
2,THREEPIO,We're doomed!,Мы обречены!,हम बर्बाद हो रहे हैं!
3,THREEPIO,There'll be no escape for the Princess this time.,На этот раз не будет спасения для принцессы.,इस बार राजकुमारी के लिए कोई पलायन नहीं होगा।
4,THREEPIO,What's that?,Что это такое?,वह क्या है?
5,THREEPIO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...,"Я должен был знать лучше, чем доверять логике полуоткрывающей термокапсолистической ассистентности ...",मुझे एक आधे आकार के थर्मोकैप्सुलरी डीहाउसिंग एस्सर के तर्क पर भरोसा करने से बेहतर पता होना चाहिए ...
6,LUKE,Hurry up!  Come with me!  What are you waiting for?!  Get in gear!,Торопиться!Пойдем со мной!Чего же ты ждешь?!Займись снаряжением!,जल्दी करो!मेरे साथ आइए!आप किस का इंतजार कर रहे हैं?!गियर में जाओ!
7,THREEPIO,"Artoo! Artoo-Detoo, where are you?","Арту!Artoo-detoo, где ты?","Artoo!Artoo-Detoo, आप कहाँ हैं?"
8,THREEPIO,At last!  Where have you been?,Наконец!Где ты был?,आखिरकार!आप कहां थे?
9,THREEPIO,They're heading in this direction. What are we going to do?  We'll be sent to the spice mines of Kessel or smashed into who knows what!,"Они идут в этом направлении.Что мы будем делать?Нас отправим в шахты специй Кесселя или разбит, кто знает что!",वे इस दिशा में जा रहे हैं।हम क्या करने जा रहे हैं?हम केसेल के स्पाइस माइन्स में भेजे जाएंगे या यह पता चला कि कौन क्या जानता है!
10,THREEPIO,"Wait a minute, where are you going?","Подожди минутку, куда ты идешь?","एक मिनट रुको, तुम कहाँ जा रहे हो?"
11,IMPERIAL OFFICER,The Death Star plans are not in the main computer.,Планы Смертельной Звезда не в главном компьютере.,डेथ स्टार योजनाएं मुख्य कंप्यूटर में नहीं हैं।
12,VADER,Where are those transmissions you intercepted?,"Где эти передачи, которые вы перехватили?",उन प्रसारणों को आप कहां रोकते हैं?
13,REBEL OFFICER,We intercepted no transmissions. Aaah...  This is a consular ship. Were on a diplomatic mission.,Мы перехватили никаких передач.Ааа ... это консульский корабль.Были на дипломатической миссии.,हमने कोई प्रसारण नहीं किया।आआह ... यह एक कांसुलर जहाज है।एक राजनयिक मिशन पर थे।
14,VADER,If this is a consular ship... where is the Ambassador?,Если это консульский корабль ... где посол?,यदि यह एक कांसुलर जहाज है ... तो राजदूत कहाँ है?
15,VADER,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador.  I want her alive!","Командир, разрывает этот корабль на части, пока не найдете эти планы и не принесите мне посла.Я хочу ее живой!","कमांडर, इस जहाज को तब तक फाड़ दें जब तक कि आप उन योजनाओं को नहीं पा लेते हैं और मुझे राजदूत लाते हैं।मैं उसे जिंदा चाहता हूँ!"
16,TROOPER,There she is! Set for stun!,Вот она!Установите STUN!,वहाँ है वह!अचेत के लिए सेट!
17,TROOPER,She'll be all right. Inform Lord Vader we have a prisoner.,"С ней все будет в порядке.Сообщите лорду Вейдеру, что у нас есть заключенный.",वह सब ठीक हो जाएगी।भगवान वाडर को सूचित करें कि हमारे पास एक कैदी है।
18,THREEPIO,"Hey, you're not permitted in there.  It's restricted. You'll be deactivated for sure..","Эй, тебе там не разрешено.Это ограничено.Вы будете деактивированы наверняка ..","अरे, आपको वहां की अनुमति नहीं है।यह प्रतिबंधित है।आपको यकीन के लिए निष्क्रिय कर दिया जाएगा .."
19,THREEPIO,"Don't call me a mindless philosopher, you overweight glob of grease!  Now come out before somebody sees you.","Не называйте меня бессмысленным философом, у вас избыточный вес, глобус Grease!Теперь выходите, прежде чем кто -нибудь вас увидит.","मुझे एक नासमझ दार्शनिक मत कहो, तुम ग्रीस के अधिक वजन वाले ग्लोब!अब बाहर आओ इससे पहले कि कोई आपको देखता है।"
20,THREEPIO,Secret mission?  What plans?  What are you talking about?  I'm not getting in there!,Секретная миссия?Какие планы?О чем ты говоришь?Я не попадаю туда!,गुप्त मिशन?क्या योजना है?तुम किस बारे में बात कर रहे हो?मैं वहाँ नहीं मिल रहा हूँ!
21,THREEPIO,I'm going to regret this.,Я собираюсь сожалеть об этом.,मुझे इस पर पछतावा होने वाला है।
22,CHIEF PILOT,There goes another one.,Там идет еще один.,एक और एक चला जाता है।
23,CAPTAIN,Hold your fire.  There are no life forms.  It must have been short-circuited.,"Держи свой огонь.Там нет форм жизни.Должно быть, это было коротко.",गोली न चलाना।कोई जीवन रूप नहीं हैं।यह शॉर्ट-सर्किटेड रहा होगा।
24,THREEPIO,"That's funny, the damage doesn't look as bad from out here.","Это забавно, ущерб не так уж и плохо.","यह मज़ेदार है, नुकसान यहाँ से उतना बुरा नहीं लगता है।"
25,THREEPIO,Are you sure this things safe?,"Вы уверены, что это безопасно?",क्या आपको यकीन है कि यह चीजें सुरक्षित हैं?
26,WOMAN,I've told you kids to slow down!,"Я сказал вам, дети замедлится!",मैंने तुमसे कहा है कि बच्चों को धीमा करने के लिए!
27,FIXER,Did I hear a young noise blast through here?,Я слышал здесь молодого шума?,क्या मैंने यहां एक युवा शोर विस्फोट सुना है?
28,CAMIE,It was just Wormie on another rampage.,Это был просто чертип на другом буйном.,यह सिर्फ एक और रैम्पेज पर वर्मी था।
29,LUKE,Shape it up you guys!...  Biggs?,"Сформируйте это, ребята! ... Биггс?",आप लोगों को आकार दें! ... Biggs?
30,LUKE,I didn't know you were back!  When did you get in?,"Я не знал, что ты вернулся!Когда ты вошел?",मुझे नहीं पता था कि आप वापस आ गए थे!आप कब आए?
